,literal,stroke_count,grade,freq,jlpt
922,本,5,4.0,1784.0,3.0
923,札,5,8.0,206.0,1.0
924,朱,6,8.0,1650.0,2.0
925,朴,6,6.0,1237.0,1.0
926,机,6,8.0,2093.0,2.0
927,朽,6,4.0,1232.0,3.0
928,材,7,1.0,1321.0,2.0
929,村,7,4.0,901.0,1.0
930,束,7,5.0,1311.0,3.0
931,条,7,2.0,1455.0,1.0
932,来,7,8.0,1406.0,2.0
933,杯,8,2.0,609.0,2.0
934,東,8,4.0,2161.0,1.0
935,松,8,3.0,2245.0,2.0
936,板,8,8.0,699.0,1.0
937,析,8,1.0,1911.0,2.0
938,林,8,6.0,290.0,2.0
939,枚,8,4.0,43.0,1.0
940,果,8,5.0,460.0,2.0
941,枝,8,8.0,2173.0,2.0
942,枢,8,8.0,373.0,1.0
943,枯,9,8.0,1335.0,2.0
944,架,9,8.0,316.0,2.0
945,柄,9,8.0,493.0,2.0
946,某,9,6.0,1809.0,2.0
947,染,9,8.0,686.0,1.0
948,柔,9,3.0,668.0,1.0
949,柱,9,8.0,156.0,3.0
950,柳,9,8.0,480.0,1.0
951,柵,9,5.0,988.0,3.0
952,査,9,4.0,553.0,3.0
953,栄,9,8.0,127.0,2.0
954,栓,10,1.0,1523.0,3.0
955,校,10,8.0,860.0,2.0
956,核,10,3.0,222.0,2.0
957,根,10,5.0,421.0,2.0
958,格,10,8.0,902.0,3.0
959,栽,10,8.0,1541.0,1.0
960,桃,10,4.0,1854.0,1.0
961,案,10,8.0,519.0,2.0
962,桑,10,5.0,1065.0,1.0
963,桜,10,8.0,310.0,1.0
964,桟,10,4.0,143.0,2.0
965,梅,10,8.0,387.0,2.0
966,梗,11,4.0,554.0,1.0
967,械,11,8.0,1106.0,2.0
968,棄,13,8.0,269.0,4.0
969,棋,12,6.0,632.0,4.0
970,棒,12,8.0,229.0,2.0
971,棟,12,1.0,2080.0,2.0
972,森,12,8.0,1361.0,2.0
973,棺,12,8.0,380.0,1.0
974,椅,12,3.0,1362.0,3.0
975,植,12,8.0,1622.0,4.0
976,椎,12,5.0,479.0,4.0
977,検,12,3.0,581.0,2.0
978,業,13,4.0,1892.0,2.0
979,極,12,8.0,1199.0,1.0
980,楷,13,8.0,570.0,2.0
981,楼,13,2.0,436.0,2.0
982,楽,13,8.0,1419.0,2.0
983,概,14,5.0,329.0,1.0
984,構,14,3.0,1179.0,3.0
985,様,14,8.0,84.0,1.0
986,槽,15,4.0,28.0,2.0
987,標,15,6.0,113.0,1.0
988,模,14,6.0,223.0,2.0
989,権,15,3.0,1450.0,1.0
