,literal,stroke_count,grade,freq,jlpt
1435,綻,14,5.0,1813.0,2.0
1436,綿,14,8.0,369.0,1.0
1437,緊,15,5.0,1387.0,2.0
1438,総,14,3.0,1647.0,2.0
1439,緑,14,8.0,1449.0,1.0
1440,緒,14,2.0,696.0,2.0
1441,線,15,8.0,1861.0,2.0
1442,締,15,5.0,1379.0,1.0
1443,編,15,8.0,1904.0,1.0
1444,緩,15,8.0,1144.0,2.0
1445,緯,16,3.0,273.0,2.0
1446,練,14,8.0,1548.0,1.0
1447,緻,16,8.0,1183.0,3.0
1448,縁,15,4.0,1477.0,1.0
1449,縄,15,8.0,2299.0,1.0
1450,縛,16,6.0,1228.0,1.0
1451,縦,16,8.0,782.0,1.0
1452,縫,16,6.0,459.0,1.0
1453,縮,17,5.0,1755.0,1.0
1454,績,17,8.0,1225.0,1.0
1455,繁,16,8.0,1163.0,2.0
1456,繊,17,5.0,2145.0,2.0
1457,織,18,8.0,1306.0,2.0
1458,繕,18,8.0,1807.0,2.0
1459,繭,18,8.0,1286.0,1.0
1460,缶,6,5.0,1679.0,2.0
1461,罪,13,4.0,1804.0,1.0
1462,置,13,8.0,1293.0,1.0
1463,罰,14,6.0,2120.0,2.0
1464,署,13,8.0,991.0,3.0
1465,罵,15,8.0,1249.0,1.0
1466,罷,15,8.0,722.0,4.0
1467,羅,19,3.0,19.0,1.0
1468,羊,6,3.0,1760.0,2.0
1469,美,9,8.0,996.0,1.0
1470,羞,11,5.0,870.0,1.0
1471,群,13,8.0,2048.0,2.0
1472,羨,13,5.0,734.0,2.0
1473,義,13,2.0,1830.0,3.0
1474,羽,6,8.0,1170.0,1.0
1475,翁,10,6.0,1412.0,1.0
1476,翌,11,3.0,655.0,3.0
1477,習,11,8.0,1786.0,2.0
1478,翻,18,8.0,665.0,2.0
1479,翼,17,4.0,649.0,1.0
1480,老,6,2.0,1753.0,2.0
1481,考,6,3.0,713.0,1.0
1482,者,8,8.0,1433.0,1.0
1483,耐,9,5.0,1363.0,2.0
1484,耕,10,8.0,501.0,3.0
1485,耗,10,1.0,621.0,1.0
1486,耳,6,6.0,2207.0,2.0
1487,聖,13,2.0,2202.0,2.0
1488,聞,14,8.0,578.0,2.0
1489,聴,17,5.0,1302.0,1.0
1490,職,18,2.0,719.0,2.0
1491,肉,6,8.0,1691.0,1.0
1492,肖,7,8.0,1713.0,2.0
1493,肝,7,8.0,458.0,2.0
1494,股,8,8.0,623.0,1.0
1495,肢,8,5.0,430.0,1.0
1496,肥,8,8.0,1188.0,1.0
1497,肩,8,8.0,2013.0,3.0
1498,肪,8,8.0,1116.0,1.0
1499,肯,8,3.0,967.0,1.0
1500,育,8,6.0,1099.0,1.0
1501,肺,9,6.0,1489.0,1.0
1502,胃,9,8.0,1230.0,1.0
1503,胆,9,6.0,1287.0,1.0
1504,背,9,8.0,1586.0,1.0
1505,胎,9,8.0,1719.0,1.0
1506,胞,9,8.0,1327.0,2.0
1507,胴,10,6.0,1085.0,1.0
1508,胸,10,5.0,420.0,1.0
1509,能,10,8.0,414.0,1.0
1510,脂,10,8.0,849.0,1.0
1511,脅,10,5.0,1547.0,1.0
1512,脈,10,8.0,754.0,2.0
1513,脊,10,8.0,1552.0,1.0
1514,脚,11,8.0,1260.0,4.0
1515,脱,11,6.0,2388.0,2.0
1516,脳,11,8.0,2483.0,1.0
1517,腎,13,8.0,468.0,1.0
1518,腐,14,8.0,1009.0,1.0
1519,腕,12,8.0,1082.0,1.0
1520,腫,13,8.0,2182.0,2.0
1521,腰,13,6.0,1849.0,2.0
1522,腸,13,6.0,702.0,1.0
1523,腹,13,8.0,2043.0,1.0
1524,腺,13,8.0,291.0,2.0
1525,膚,15,8.0,1896.0,2.0
1526,膜,14,8.0,2124.0,1.0
1527,膨,16,8.0,1653.0,1.0
1528,膳,16,8.0,1464.0,2.0
1529,臆,17,6.0,1454.0,2.0
1530,臓,19,4.0,1678.0,1.0
1531,臣,7,6.0,1351.0,2.0
1532,臨,18,2.0,2272.0,1.0
1533,自,6,8.0,1721.0,2.0
1534,臭,9,6.0,2031.0,2.0
1535,至,6,8.0,2339.0,1.0
1536,致,10,8.0,2223.0,1.0
1537,臼,6,5.0,2203.0,1.0
1538,興,16,6.0,481.0,1.0
1539,舌,6,5.0,832.0,4.0
1540,舎,8,8.0,450.0,2.0
1541,舗,15,8.0,20.0,1.0
1542,舞,15,8.0,350.0,1.0
1543,舟,6,5.0,891.0,4.0
1544,航,10,8.0,400.0,2.0
1545,般,10,8.0,972.0,1.0
1546,舶,11,8.0,1847.0,2.0
1547,舷,11,2.0,1214.0,1.0
1548,船,11,8.0,77.0,3.0
1549,艇,13,8.0,1432.0,2.0
1550,艦,21,4.0,2229.0,2.0
1551,良,7,2.0,1125.0,2.0
1552,色,6,8.0,1960.0,2.0
1553,艶,19,8.0,431.0,4.0
1554,芯,7,1.0,297.0,1.0
1555,花,7,8.0,1041.0,3.0
1556,芳,7,4.0,657.0,1.0
1557,芸,7,4.0,812.0,2.0
1558,芽,8,8.0,1048.0,1.0
1559,苗,8,8.0,332.0,2.0
1560,苛,8,6.0,1796.0,1.0
1561,若,8,3.0,488.0,2.0
1562,苦,8,4.0,915.0,2.0
1563,英,8,8.0,2186.0,2.0
1564,茂,8,8.0,2073.0,1.0
1565,茎,8,2.0,2030.0,1.0
1566,茶,9,1.0,1130.0,1.0
1567,草,9,8.0,259.0,1.0
1568,荒,9,8.0,106.0,1.0
1569,荘,9,3.0,1378.0,1.0
1570,荷,10,8.0,1173.0,2.0
1571,菊,11,8.0,22.0,2.0
1572,菌,11,8.0,349.0,1.0
1573,菓,11,4.0,362.0,3.0
1574,菜,11,8.0,710.0,1.0
1575,華,10,8.0,1510.0,2.0
1576,萎,11,3.0,406.0,4.0
1577,落,12,3.0,476.0,1.0
1578,葉,12,6.0,805.0,1.0
1579,著,11,8.0,176.0,1.0
1580,葛,11,8.0,904.0,1.0
1581,葬,12,6.0,83.0,2.0
1582,蒸,13,8.0,1690.0,2.0
1583,蓄,13,8.0,2379.0,1.0
1584,蓋,13,8.0,228.0,1.0
1585,蔑,14,6.0,528.0,1.0
1586,蔵,15,8.0,1134.0,4.0
1587,蔽,15,8.0,1021.0,1.0
1588,薄,16,8.0,149.0,2.0
1589,薦,16,8.0,1061.0,3.0
1590,薪,16,8.0,372.0,4.0
1591,薫,16,3.0,145.0,2.0
1592,薬,16,8.0,720.0,2.0
1593,藍,18,8.0,1050.0,2.0
1594,藤,18,8.0,427.0,1.0
1595,藩,18,8.0,1019.0,2.0
1596,藻,19,8.0,306.0,1.0
1597,虎,8,8.0,1511.0,1.0
1598,虐,9,8.0,2239.0,2.0
1599,虚,11,8.0,454.0,1.0
1600,虜,13,1.0,1636.0,1.0
1601,虫,6,6.0,2000.0,1.0
1602,蚕,10,8.0,392.0,1.0
1603,蛇,11,8.0,1196.0,1.0
1604,蛍,11,8.0,1020.0,2.0
1605,蛮,12,8.0,134.0,1.0
1606,蜂,13,8.0,1648.0,1.0
1607,蜜,14,8.0,1178.0,1.0
1608,融,16,3.0,1272.0,2.0
1609,血,6,6.0,1064.0,1.0
1610,衆,12,2.0,851.0,2.0
1611,行,6,5.0,198.0,2.0
1612,術,11,4.0,1567.0,1.0
1613,街,12,5.0,1024.0,1.0
1614,衛,16,8.0,993.0,2.0
1615,衝,15,8.0,301.0,1.0
1616,衡,16,4.0,1128.0,2.0
1617,衣,6,3.0,1150.0,1.0
1618,表,8,8.0,326.0,2.0
1619,衰,10,8.0,618.0,1.0
1620,衷,10,8.0,455.0,1.0
1621,袋,11,8.0,87.0,2.0
1622,袖,10,8.0,272.0,2.0
1623,被,10,6.0,524.0,1.0
1624,裁,12,8.0,227.0,2.0
1625,裂,12,6.0,2457.0,2.0
1626,装,12,6.0,1461.0,2.0
1627,裏,13,8.0,1345.0,1.0
1628,裕,12,6.0,658.0,2.0
1629,補,12,8.0,1490.0,2.0
1630,裸,13,5.0,1370.0,1.0
1631,製,14,5.0,2295.0,4.0
1632,複,14,8.0,1582.0,3.0
1633,褐,13,8.0,653.0,2.0
1634,褒,15,8.0,1028.0,2.0
1635,襟,18,8.0,1580.0,1.0
1636,襲,22,2.0,2068.0,2.0
1637,西,6,4.0,496.0,1.0
1638,要,9,8.0,1919.0,2.0
1639,覆,18,8.0,366.0,1.0
1640,覇,19,1.0,25.0,1.0
1641,見,7,5.0,984.0,2.0
1642,規,11,6.0,351.0,1.0
1643,視,11,4.0,508.0,2.0
1644,覚,12,6.0,1422.0,1.0
1645,覧,17,2.0,762.0,2.0
1646,親,16,4.0,1864.0,1.0
1647,観,18,2.0,394.0,3.0
1648,角,7,5.0,1104.0,1.0
1649,解,13,8.0,1389.0,2.0
1650,触,13,2.0,443.0,3.0
1651,言,7,8.0,494.0,1.0
1652,訂,9,8.0,956.0,3.0
1653,訃,9,2.0,1211.0,1.0
1654,計,9,6.0,822.0,3.0
1655,討,10,4.0,627.0,2.0
1656,訓,10,8.0,1156.0,2.0
1657,託,10,2.0,598.0,1.0
1658,記,10,8.0,1100.0,4.0
1659,訟,11,6.0,970.0,1.0
1660,訪,11,5.0,520.0,1.0
1661,設,11,5.0,995.0,2.0
1662,許,11,6.0,321.0,1.0
1663,訳,11,8.0,2444.0,1.0
1664,訴,12,8.0,652.0,2.0
1665,診,12,5.0,1056.0,1.0
1666,証,12,8.0,961.0,1.0
1667,詐,12,8.0,1282.0,2.0
1668,詔,12,5.0,179.0,4.0
1669,評,12,6.0,2045.0,1.0
1670,詞,12,8.0,1677.0,2.0
1671,詠,12,8.0,868.0,2.0
1672,詣,13,4.0,2190.0,2.0
1673,試,13,3.0,426.0,3.0
1674,詩,13,8.0,1243.0,1.0
1675,詮,13,8.0,1159.0,3.0
1676,詰,13,2.0,389.0,2.0
1677,話,13,8.0,1989.0,1.0
1678,該,13,8.0,945.0,1.0
1679,詳,13,8.0,1001.0,1.0
1680,誇,13,8.0,584.0,2.0
1681,誉,13,6.0,1868.0,2.0
1682,誌,14,6.0,626.0,1.0
1683,認,14,8.0,1649.0,2.0
1684,誓,14,6.0,374.0,2.0
1685,誕,15,8.0,597.0,1.0
1686,誘,14,2.0,897.0,2.0
1687,語,14,6.0,1153.0,2.0
1688,誠,13,6.0,343.0,1.0
1689,誤,14,4.0,1191.0,2.0
1690,説,14,2.0,953.0,3.0
1691,読,14,4.0,529.0,2.0
1692,課,15,3.0,1716.0,1.0
1693,調,15,3.0,1570.0,1.0
1694,談,15,8.0,1308.0,2.0
1695,請,15,6.0,723.0,2.0
1696,論,15,8.0,2377.0,2.0
1697,諦,16,8.0,900.0,2.0
1698,諧,16,8.0,320.0,3.0
1699,諭,16,8.0,333.0,2.0
1700,諮,16,6.0,1480.0,2.0
1701,諸,15,8.0,189.0,1.0
1702,諾,15,8.0,1416.0,1.0
1703,謀,16,8.0,1269.0,1.0
1704,謁,15,8.0,327.0,2.0
1705,謄,17,8.0,1261.0,3.0
1706,謙,17,5.0,790.0,1.0
1707,講,17,5.0,1172.0,2.0
1708,謝,17,8.0,825.0,2.0
1709,謡,16,8.0,1259.0,2.0
1710,謹,17,5.0,1365.0,1.0
1711,識,19,8.0,693.0,4.0
1712,譜,19,6.0,371.0,3.0
1713,警,19,4.0,1771.0,1.0
1714,議,20,8.0,1607.0,1.0
1715,譲,20,5.0,633.0,2.0
1716,護,20,2.0,1769.0,1.0
1717,谷,7,3.0,385.0,2.0
1718,豆,7,5.0,428.0,3.0
1719,豊,13,8.0,1888.0,1.0
1720,豚,11,5.0,625.0,2.0
1721,象,12,8.0,194.0,4.0
1722,豪,14,8.0,685.0,2.0
1723,貌,14,8.0,773.0,2.0
1724,貞,9,3.0,1907.0,3.0
1725,負,9,5.0,379.0,1.0
1726,財,10,8.0,942.0,2.0
1727,貢,10,5.0,411.0,1.0
1728,貧,11,4.0,424.0,1.0
1729,貨,11,8.0,311.0,1.0
1730,販,11,8.0,931.0,1.0
1731,貪,11,8.0,683.0,2.0
1732,貫,11,5.0,1035.0,1.0
1733,責,11,5.0,2230.0,1.0
1734,貯,12,6.0,1957.0,1.0
1735,貴,12,2.0,717.0,1.0
1736,買,12,5.0,80.0,1.0
1737,貸,12,5.0,2018.0,1.0
1738,費,12,8.0,576.0,1.0
1739,貼,12,5.0,429.0,2.0
1740,貿,12,5.0,30.0,1.0
1741,賀,12,8.0,766.0,1.0
1742,賂,13,6.0,540.0,2.0
1743,賃,13,8.0,142.0,1.0
1744,賄,13,5.0,1524.0,2.0
1745,資,13,8.0,1423.0,1.0
1746,賊,13,8.0,833.0,3.0
1747,賓,15,5.0,1343.0,1.0
1748,賛,15,8.0,941.0,2.0
1749,賜,15,5.0,255.0,2.0
1750,賞,15,8.0,1845.0,1.0
1751,賠,15,8.0,285.0,1.0
1752,賢,16,8.0,207.0,1.0
1753,賦,15,5.0,500.0,1.0
1754,質,15,8.0,344.0,1.0
1755,賭,15,8.0,887.0,1.0
1756,購,17,8.0,664.0,1.0
1757,贈,18,1.0,670.0,1.0
1758,赤,7,8.0,1554.0,1.0
1759,赦,11,2.0,1865.0,1.0
1760,走,7,8.0,1937.0,1.0
1761,赴,9,3.0,57.0,1.0
1762,起,10,8.0,647.0,3.0
1763,超,12,8.0,756.0,3.0
1764,越,12,8.0,910.0,2.0
1765,趣,15,1.0,1621.0,4.0
1766,足,7,8.0,654.0,2.0
1767,距,12,8.0,1612.0,1.0
1768,跡,13,3.0,905.0,2.0
1769,路,13,8.0,1304.0,1.0
1770,跳,13,8.0,569.0,2.0
1771,践,13,8.0,965.0,1.0
1772,踊,14,8.0,36.0,1.0
1773,踏,15,8.0,1670.0,2.0
1774,踪,15,8.0,917.0,3.0
1775,蹴,19,8.0,1077.0,1.0
1776,躍,21,3.0,123.0,2.0
1777,身,7,1.0,2271.0,1.0
1778,車,7,8.0,359.0,1.0
1779,軌,9,4.0,1006.0,2.0
1780,軍,9,8.0,1640.0,1.0
1781,軒,10,8.0,1955.0,1.0
1782,軟,11,3.0,2012.0,1.0
1783,転,11,8.0,1515.0,1.0
1784,軸,12,3.0,1862.0,1.0
1785,軽,12,8.0,1596.0,1.0
1786,較,13,8.0,1218.0,2.0
1787,載,13,8.0,2074.0,1.0
1788,輝,15,8.0,1838.0,1.0
1789,輩,15,4.0,1097.0,1.0
1790,輪,15,5.0,1096.0,1.0
1791,輸,16,8.0,193.0,1.0
1792,轄,17,8.0,120.0,1.0
1793,辛,7,4.0,469.0,4.0
1794,辞,13,8.0,53.0,3.0
1795,辣,14,8.0,505.0,2.0
1796,辱,10,3.0,1542.0,3.0
1797,農,13,4.0,1574.0,1.0
1798,辺,5,8.0,880.0,4.0
1799,迅,6,8.0,672.0,2.0
1800,迎,7,2.0,1710.0,1.0
1801,近,7,3.0,1890.0,1.0
1802,返,7,8.0,1376.0,1.0
1803,迫,8,8.0,395.0,1.0
1804,迭,8,5.0,1013.0,2.0
1805,述,8,5.0,1505.0,1.0
1806,迷,9,3.0,1394.0,1.0
1807,追,9,6.0,1008.0,2.0
1808,退,9,3.0,1395.0,2.0
1809,送,9,8.0,2005.0,1.0
1810,逃,9,5.0,1246.0,3.0
1811,逆,9,8.0,1934.0,1.0
1812,透,10,8.0,1440.0,2.0
1813,逐,10,8.0,2221.0,1.0
1814,逓,10,8.0,1740.0,1.0
1815,途,10,2.0,546.0,1.0
1816,通,10,8.0,1793.0,1.0
1817,逝,10,3.0,2029.0,1.0
1818,速,10,5.0,1250.0,1.0
1819,造,10,4.0,1617.0,2.0
1820,連,10,8.0,1506.0,2.0
1821,逮,11,2.0,1681.0,2.0
1822,週,11,3.0,1391.0,2.0
1823,進,11,8.0,12.0,1.0
1824,逸,11,8.0,452.0,1.0
1825,遂,12,8.0,951.0,2.0
1826,遅,12,8.0,59.0,1.0
1827,遇,12,3.0,1994.0,1.0
1828,遊,12,3.0,33.0,2.0
1829,運,12,8.0,70.0,1.0
1830,遍,12,5.0,444.0,1.0
1831,過,12,2.0,1072.0,1.0
1832,道,12,4.0,1855.0,1.0
1833,達,12,8.0,751.0,1.0
1834,違,13,8.0,1532.0,1.0
1835,遜,13,2.0,503.0,1.0
1836,遠,13,8.0,331.0,3.0
1837,遡,13,8.0,1280.0,2.0
1838,遣,13,5.0,2396.0,1.0
1839,適,14,8.0,596.0,2.0
1840,遭,14,8.0,405.0,1.0
1841,遮,14,8.0,1429.0,2.0
1842,遵,15,8.0,150.0,4.0
1843,遷,15,4.0,828.0,2.0
1844,選,15,6.0,594.0,1.0
1845,遺,15,8.0,1154.0,2.0
1846,避,16,8.0,1917.0,2.0
1847,還,16,8.0,1393.0,1.0
1848,那,7,8.0,1323.0,4.0
1849,邦,7,8.0,1746.0,1.0
1850,邪,8,8.0,1680.0,2.0
1851,邸,8,8.0,736.0,1.0
1852,郊,9,8.0,707.0,1.0
1853,郎,9,4.0,1071.0,1.0
1854,郡,10,3.0,1601.0,1.0
1855,部,11,8.0,1109.0,3.0
1856,郭,11,6.0,605.0,2.0
1857,郵,11,6.0,513.0,2.0
1858,郷,11,3.0,1396.0,2.0
1859,都,11,8.0,1382.0,2.0
1860,酌,10,3.0,183.0,2.0
1861,配,10,8.0,742.0,3.0
1862,酎,10,3.0,1089.0,1.0
1863,酒,10,8.0,1083.0,1.0
1864,酔,11,8.0,2009.0,2.0
1865,酢,12,8.0,1546.0,1.0
1866,酪,13,8.0,669.0,2.0
1867,酬,13,8.0,1192.0,1.0
1868,酵,14,8.0,210.0,2.0
1869,酷,14,5.0,975.0,1.0
1870,酸,14,8.0,1951.0,1.0
1871,醒,16,8.0,839.0,2.0
1872,醜,17,8.0,555.0,3.0
1873,醸,20,8.0,330.0,1.0
1874,采,8,8.0,950.0,2.0
1875,釈,11,2.0,1131.0,3.0
1876,里,7,3.0,1341.0,2.0
1877,重,9,2.0,1256.0,3.0
1878,野,11,4.0,1217.0,1.0
1879,量,12,1.0,1491.0,2.0
1880,金,8,6.0,268.0,2.0
1881,針,10,8.0,935.0,1.0
1882,釣,11,8.0,893.0,3.0
1883,鈍,12,8.0,1458.0,2.0
1884,鈴,13,3.0,2151.0,4.0
1885,鉄,13,8.0,1747.0,1.0
1886,鉛,13,8.0,928.0,3.0
1887,鉢,13,5.0,589.0,4.0
1888,鉱,13,3.0,764.0,1.0
1889,銀,14,8.0,472.0,1.0
1890,銃,14,5.0,186.0,1.0
1891,銅,14,8.0,249.0,1.0
1892,銘,14,6.0,1561.0,1.0
1893,銭,14,8.0,445.0,3.0
1894,鋭,15,8.0,491.0,3.0
1895,鋳,15,6.0,2148.0,2.0
1896,鋼,16,8.0,502.0,2.0
1897,錠,16,8.0,1350.0,1.0
1898,錦,16,8.0,884.0,4.0
1899,錬,16,8.0,779.0,1.0
1900,錮,16,8.0,1339.0,2.0
1901,錯,16,4.0,981.0,1.0
1902,録,16,8.0,1247.0,1.0
1903,鍛,17,8.0,2287.0,3.0
1904,鍵,17,8.0,138.0,1.0
1905,鎖,18,8.0,433.0,1.0
1906,鎮,18,4.0,1590.0,2.0
1907,鏡,19,8.0,708.0,1.0
1908,鐘,20,8.0,96.0,4.0
1909,鑑,23,2.0,407.0,2.0
1910,長,8,2.0,676.0,1.0
1911,門,8,6.0,1536.0,1.0
1912,閉,11,3.0,894.0,1.0
1913,開,12,8.0,678.0,1.0
1914,閑,12,2.0,1058.0,4.0
1915,間,12,4.0,558.0,1.0
1916,関,14,6.0,580.0,1.0
1917,閣,14,8.0,328.0,3.0
1918,閥,14,8.0,1659.0,2.0
1919,閲,15,8.0,1046.0,1.0
1920,闘,18,4.0,969.0,1.0
1921,阜,8,4.0,1392.0,2.0
1922,阪,7,5.0,1780.0,1.0
1923,防,7,8.0,1193.0,2.0
1924,阻,8,8.0,2152.0,3.0
1925,附,8,6.0,888.0,1.0
1926,降,10,5.0,2277.0,1.0
1927,限,9,6.0,1754.0,2.0
1928,陛,10,3.0,613.0,2.0
1929,院,10,8.0,98.0,
1930,陣,10,6.0,859.0,
1931,除,10,8.0,639.0,
1932,陥,10,8.0,1500.0,
1933,陪,11,8.0,724.0,
1934,陰,11,8.0,1033.0,
1935,陳,11,8.0,955.0,
1936,陵,11,8.0,1696.0,
1937,陶,11,4.0,1069.0,
1938,陸,11,5.0,410.0,
1939,険,11,3.0,1420.0,
1940,陽,12,8.0,1141.0,
1941,隅,12,8.0,936.0,
1942,隆,11,4.0,1652.0,
1943,隊,12,3.0,65.0,
1944,階,12,8.0,1474.0,
1945,随,12,8.0,1557.0,
1946,隔,13,8.0,1748.0,
1947,隙,13,5.0,1206.0,
1948,際,14,6.0,1514.0,
1949,障,14,8.0,1208.0,
1950,隠,14,8.0,355.0,
1951,隣,16,8.0,1486.0,
1952,隷,16,8.0,1043.0,
1953,隻,10,8.0,1279.0,
1954,雄,12,8.0,1901.0,
1955,雅,13,3.0,2366.0,
1956,集,12,8.0,1758.0,
1957,雇,12,8.0,1615.0,
1958,雌,14,5.0,2331.0,
1959,雑,14,8.0,1142.0,
1960,離,19,6.0,1240.0,
1961,難,18,1.0,573.0,
1962,雨,8,2.0,1338.0,
1963,雪,11,8.0,1795.0,
1964,雰,12,2.0,1632.0,
1965,雲,12,8.0,770.0,
1966,零,13,8.0,,
1967,雷,13,2.0,,
1968,電,13,8.0,,
1969,需,14,8.0,,
1970,震,15,8.0,,
1971,霊,15,8.0,,
1972,霜,17,8.0,,
1973,霧,19,8.0,,
1974,露,21,1.0,,
1975,青,8,4.0,,
1976,静,14,5.0,,
1977,非,8,3.0,,
1978,面,9,6.0,,
1979,革,9,8.0,,
1980,靴,13,8.0,,
1981,韓,18,1.0,,
1982,音,9,8.0,,
1983,韻,19,8.0,,
1984,響,20,6.0,,
1985,頂,11,8.0,,
1986,項,12,4.0,,
1987,順,12,8.0,,
1988,須,12,6.0,,
1989,預,13,8.0,,
1990,頑,13,8.0,,
1991,頒,13,8.0,,
1992,頓,13,5.0,,
1993,領,14,2.0,,
1994,頭,16,8.0,,
1995,頻,17,8.0,,
1996,頼,16,3.0,,
1997,題,18,5.0,,
1998,額,18,8.0,,
1999,顎,18,2.0,,
2000,顔,18,8.0,,
2001,顕,18,4.0,,
2002,願,19,4.0,,
2003,類,18,8.0,,
2004,顧,21,2.0,,
2005,風,9,4.0,,
2006,飛,9,2.0,,
2007,食,9,8.0,,
2008,飢,10,4.0,,
2009,飯,12,3.0,,
2010,飲,12,5.0,,
2011,飼,13,8.0,,
2012,飽,13,8.0,,
2013,飾,13,8.0,,
2014,餅,14,4.0,,
2015,養,15,8.0,,
2016,餌,14,8.0,,
2017,餓,15,3.0,,
2018,館,16,2.0,,
2019,首,9,4.0,,
2020,香,9,2.0,,
2021,馬,10,8.0,,
2022,駄,14,3.0,,
2023,駅,14,8.0,,
2024,駆,14,8.0,,
2025,駐,15,8.0,,
2026,騎,18,8.0,,
2027,騒,18,4.0,,
2028,験,18,8.0,,
2029,騰,20,8.0,,
2030,驚,22,6.0,,
2031,骨,10,8.0,,
2032,骸,16,8.0,,
2033,髄,19,2.0,,
2034,高,10,8.0,,
2035,髪,14,8.0,,
2036,鬱,29,8.0,,
2037,鬼,10,8.0,,
2038,魂,14,8.0,,
2039,魅,15,8.0,,
2040,魔,21,2.0,,
2041,魚,11,8.0,,
2042,鮮,17,8.0,,
2043,鯨,19,2.0,,
2044,鳥,11,2.0,,
2045,鳴,14,8.0,,
2046,鶏,19,8.0,,
2047,麓,19,8.0,,
2048,麗,19,2.0,,
2049,麦,7,8.0,,
2050,麺,16,8.0,,
2051,麻,11,2.0,,
2052,黄,11,2.0,,
2053,黒,11,8.0,,
2054,黙,15,8.0,,
2055,鼓,13,3.0,,
2056,鼻,14,8.0,,
2057,齢,17,,,
2058,𠮟,5,,,
